# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: Y:\CPE_100\Final_Project\FinalProject.csv
# Generated on: Wed Jul 08 11:04:16 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
ARITHSWITCH,Input,PIN_AB12,4A,B4A_N0,PIN_AB12,,,,,,,,,,,,,
displayoon5,Output,PIN_Y15,4A,B4A_N0,PIN_Y15,,,,,,,,,,,,,
displayoon6,Output,PIN_P9,3B,B3B_N0,PIN_P9,,,,,,,,,,,,,
displayoone0,Output,PIN_U20,4A,B4A_N0,PIN_U20,,,,,,,,,,,,,
displayoone1,Output,PIN_Y20,4A,B4A_N0,PIN_Y20,,,,,,,,,,,,,
displayoone2,Output,PIN_V20,4A,B4A_N0,PIN_V20,,,,,,,,,,,,,
displayoone3,Output,PIN_U16,4A,B4A_N0,PIN_U16,,,,,,,,,,,,,
displayoone4,Output,PIN_U15,4A,B4A_N0,PIN_U15,,,,,,,,,,,,,
displayoten0,Output,PIN_N9,3B,B3B_N0,PIN_N9,,,,,,,,,,,,,
displayoten1,Output,PIN_M8,3B,B3B_N0,PIN_M8,,,,,,,,,,,,,
displayoten2,Output,PIN_T14,4A,B4A_N0,PIN_T14,,,,,,,,,,,,,
displayoten3,Output,PIN_P14,4A,B4A_N0,PIN_P14,,,,,,,,,,,,,
displayoten4,Output,PIN_C1,2A,B2A_N0,PIN_C1,,,,,,,,,,,,,
